Boy and his Blob, A: Trouble on Blobolonia|Absolute|NES-B5-USA|C
Bram Stoker's Dracula|Imagesoft|NES-DR-USA|B
Break Time: The National Pool Tour|FCI|NES-BZ-USA|B+
Breakthru|Data East|NES-BE-USA|C
Bubble Bath Babes|Panesian|Unlicensed|A+
Bubble Bobble|Taito|NES-B2-USA|D
Bubble Bobble Part 2|Taito|NES-BQ-USA|B
Bucky O'Hare|Konami|NES-56-USA|B
Bugs Bunny Birthday Blowout, The|Kemco|NES-H8-USA|B
Bugs Bunny Crazy Castle, The|Kemco|NES-C1-USA|B+
Bump 'n' Jump|Vic Tokai|NES-BP-USA|B-
Burai Fighter|Taxan|NES-UF-USA|B-
Burger Time|Data East|NES-BR-USA|B-
Cabal|Milton Bradley|NES-C7-USA|C
Caesars Palace|Virgin|NES-C9-USA|B
California Games|Milton Bradley|NES-CG-USA|C
Captain America and the Avengers|Data East|NES-6E-USA|B
Captain Comic: The Adventure (black)|Color Dreams|Unlicensed|B
Captain Comic: The Adventure (blue)|Color Dreams|Unlicensed|B
Captain Planet and the Planeteers|Mindscape|NES-5C-USA|B
Captain Skyhawk|Milton Bradley|NES-YW-USA|C
Casino Kid|Sofel|NES-KP-USA|C+
Casino Kid II|Sofel|NES-CK-USA|B+
Castelian|Triffix|NES-4C-USA|B
Castle of Deceit (black)|Bunch Games|Unlicensed|B
Castle of Deceit (blue)|Bunch Games|Unlicensed|B
Castle of Dragon|Seta|NES-C4-USA|B
Castlequest|Nexoft|NES-O5-USA|B
Castlevania|Konami|NES-CV-USA|E
Castlevania II: Simon's Quest|Konami|NES-QU-USA|D
Castlevania III: Dracula's Curse|Konami|NES-VN-USA|C-
Caveman Games|Data East|NES-UQ-USA|B-
Challenge of the Dragon (blue)|Color Dreams|Unlicensed|B
Challenge of the Dragon (black)|Color Dreams|Unlicensed|B
Championship Bowling|Romstar|NES-1F-USA|B
Championship Pool|Mindscape|NES-P3-USA|B+
Cheetamen II|Active Enterprises|Unlicensed|A
Chessmaster, The|Hi Tech|NES-EM-USA|B
Chiller (grey)|American Game Carts|Unlicensed|B+
Chip 'N Dale Rescue Rangers|Capcom|NES-RU-USA|C+
Chip 'N Dale Rescue Rangers 2|Capcom|NES-DV-USA|B+
Chubby Cherub|Bandai|NES-CB-USA|B
Circus Caper|Toho|NES-M7-USA|B
City Connection|Jaleco|NES-CI-USA|B
Clash at Demonhead|Vic Tokai|NES-B6-USA|B-
Classic Concentration|Gametek|NES-C8-USA|B-
Cliffhanger|Imagesoft|NES-HG-USA|B
Clu Clu Land|Nintendo|none|B-
Cobra Command|Data East|NES-CN-USA|C
Cobra Triangle|Nintendo|NES-CU-USA|B-
Code Name Viper|Capcom|NES-VP-USA|C
Color A Dinosaur|Virgin|NES-CD-USA|A-
Commando|Capcom|NES-CO-USA|C
Conan|Mindscape|NES-YY-USA|B
Conflict|Vic Tokai|NES-C3-USA|C+
Conquest of the Crystal Palace|Asmik|NES-7M-USA|C+
Contra|Konami|NES-CT-USA|E
Contra Force|Konami|NES-CR-USA|B
Cool World|Ocean|NES-CX-USA|B
Cowboy Kid|Romstar|NES-9C-USA|A-
Crash 'n' The Boys: Street Challenge|American Technos|NES-58-USA|B
Crystal Mines (blue)|Color Dreams|Unlicensed|B+
Crystalis|SNK|NES-GO-USA|C
Cyberball|Jaleco|NES-4Y-USA|B
Cybernoid: The Fighting Machine|Acclaim|NES-YN-USA|C
Dance Aerobics|Nintendo|NES-AE-USA|C+
Danny Sullivan's Indy Heat|Tradewest|NES-HT-USA|B
Darkman|Ocean|NES-N8-USA|B
Darkwing Duck|Capcom|NES-DZ-USA|B+
Dash Galaxy in The Alien Asylum|Data East|NES-XY-USA|C
DayDreamin' Davey|HAL|NES-6D-USA|B+
Days of Thunder|Mindscape|NES-YH-USA|C+
Deadly Towers|Broderbund|NES-DE-USA|C+
Death Race (grey)|American Game Carts|Unlicensed|B+
Deathbots (black)|American Video|Unlicensed|B+
Defender II|HAL|NES-SB-USA|B
Defender of the Crown|Ultra|NES-U3-USA|C+
Defenders of Dynatron City|JVC|NES-DY-USA|B
Déjà Vu|Kemco|NES-DG-USA|C+
Demon Sword|Taito|NES-DO-USA|C+
Desert Commander|Kemco|NES-DF-USA|C-
Destination Earthstar|Acclaim|NES-VW-USA|C
Destiny of an Emperor|Capcom|NES-YZ-USA|B-
Dick Tracy|Bandai|NES-3Y-USA|C+
Die Hard|Activision|NES-57-USA|B+
Dig Dug II: Trouble in Paradise|Bandai|NES-I2-USA|B
Digger T. Rock: The Legend of the Lost City|Milton Bradley|NES-8D-USA|B+
Dirty Harry|Mindscape|NES-2Y-USA|C+
